stadium_name,stadium_city,stadium_state,stadium_country,stadium_active,stadium_deleted,stadium_timezone
Melbourne Cricket Ground (MCG),Melbourne, Victoria,Australia,TRUE,FALSE,Australia/Melbourne
Old Trafford Cricket Ground (Old Trafford),Manchester, Greater Manchester,England,TRUE,FALSE,Europe/London
Lord's Cricket Ground (Lord's),St. John's Wood, London,England,TRUE,FALSE,Europe/London
County Cricket Ground (Edgbaston),Birmingham, West Midlands,England,TRUE,FALSE,Europe/London
AMI Stadium(formerly Jade Stadium and Lancaster Park),Christchurch, Canterbury,New Zealand,TRUE,FALSE,Pacific/Auckland
St Helen's,Swansea, West Glamorgan,Wales,TRUE,FALSE,Europe/London
Headingley Cricket Ground (Headingley),Leeds, West Yorkshire,England,TRUE,FALSE,Europe/London
The Oval Cricket Ground (The Oval),Kennington, London,England,TRUE,FALSE,Europe/London
Carisbrook,Dunedin, Otago,New Zealand,TRUE,FALSE,Pacific/Auckland
Trent Bridge Ground (Trent Bridge),Nottingham, Nottinghamshire,England,TRUE,FALSE,Europe/London
Basin Reserve (The Basin),Wellington,Wellington,New Zealand,TRUE,FALSE,Pacific/Auckland
Adelaide Oval,Adelaide, South Australia,Australia,TRUE,FALSE,Australia/Adelaide
Eden Park No. 1 (Eden Park),Auckland,Auckland,New Zealand,TRUE,FALSE,Pacific/Auckland
North Marine Road Ground,Scarborough, North Yorkshire,England,TRUE,FALSE,Europe/London
Jinnah Stadium (Sialkot Stadium),Sialkot, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Albion Sports Complex,Albion, Berbice,Guyana,TRUE,FALSE,America/Guyana
Zafar Ali Stadium (Sahiwal Stadium),Sahiwal, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Gaddafi Stadium (Lahore Stadium),Lahore, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Antigua Recreation Ground (The Rec),St. John's, Antigua and Barbuda (West Indies),Antigua & Barbuda,TRUE,FALSE,America/Antigua
Mindoo Phillip Park (Victoria Park),Castries, Saint Lucia (West Indies),Saint Lucia,TRUE,FALSE,America/St_Lucia
Ayub National Stadium (Baluchistan CA Ground),Quetta, Balochistan,Pakistan,TRUE,FALSE,Asia/Karachi
Sydney Cricket Ground (SCG),Sydney, New South Wales,Australia,TRUE,FALSE,Australia/Sydney
Brisbane Cricket Ground (The Gabba),Brisbane, Queensland,Australia,TRUE,FALSE,Australia/Brisbane
National Stadium,Karachi, Sindh,Pakistan,TRUE,FALSE,Asia/Karachi
